""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"
"role"	""	""	""	"tissue"	"biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (original text)"	"exposure material"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication_url"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"APOBEC3B"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"SEC24A"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"SLC44A1"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"FBXO5"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"MANEA"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"DLGAP5"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"HDX"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"TSHR"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"SEC11C"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"MYO1D"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"ELL2"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"TNFRSF17"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"GPRC5D"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"CCNA2"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"CD38"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"MAN1A1"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"ZBP1"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"GLCCI1"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"HRASLS2"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"MAGED1"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"B4GALT3"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"PLPP5"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"XBP1"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"FBXO16"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"TPD52"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"RGS13"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"HIST1H3J"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"IGHV4OR15-8"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"HIST1H1B"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"ERLEC1"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"PBK"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"MEI1"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"PHGDH"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"HIST1H2BM"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"UAP1"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"IRF4"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"IGKC"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"FAM69A"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"KLHL14"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"ARHGAP42"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"RAB30"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"ITM2C"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"TYMS"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"HSPA13"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"TOP2A"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
""	"20181126-hipciof_gene_24725414"	"2018.11.26"	"hipciof_gene"	"peripheral blood mononuclear cell"	"PCLAF"	"Gene Expression"	"Positive"	"None"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000410"	""	"associated with Cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"
